Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,NO2
06/01/2022,44,Ozone,Paradise - Airport,06-007-0007,AQS,2,44,9,12,8
07/01/2022,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,17,36,4
08/01/2022,42,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,30,22,42,6
09/01/2022,67,Ozone,Chico-East Avenue,06-007-0008,AQS,2,67,36,30,11
10/01/2022,51,Ozone,Paradise - Airport,06-007-0007,AQS,2,51,19,26,11
11/01/2022,47,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,34,24,47,8
12/01/2022,33,Ozone,Paradise - Airport,06-007-0007,AQS,3,33,5,26,10
01/02/2022,64,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,31,18,64,17
02/02/2022,38,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,37,13,38,20
03/02/2022,45,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,45,14,45,10
04/02/2022,44,Ozone,Paradise - Airport,06-007-0007,AQS,2,44,9,34,8
05/02/2022,48,Ozone,Chico-East Avenue,06-007-0008,AQS,2,48,14,14,.
06/02/2022,43,Ozone,Chico-East Avenue,06-007-0008,AQS,2,43,15,20,8
07/02/2022,40,Ozone,Paradise - Airport,06-007-0007,AQS,1,40,17,28,3
08/02/2022,51,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,49,20,51,13
09/02/2022,71,Ozone,Paradise - Airport,06-007-0007,AQS,2,71,34,31,13
10/02/2022,48,Ozone,Paradise - Airport,06-007-0007,AQS,2,48,19,33,11
11/02/2022,34,Ozone,Paradise - Airport,06-007-0007,AQS,3,34,5,16,9
12/02/2022,55,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,31,13,55,16
01/03/2022,33,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,33,7,33,6
02/03/2022,48,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,40,14,48,25
03/03/2022,39,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,37,10,39,8
04/03/2022,50,Ozone,Chico-East Avenue,06-007-0008,AQS,2,50,6,18,7
05/03/2022,40,Ozone,Paradise - Airport,06-007-0007,AQS,2,40,9,7,9
06/03/2022,34,Ozone,Paradise - Airport,06-007-0007,AQS,1,34,15,15,4
07/03/2022,34,Ozone,Paradise - Airport,06-007-0007,AQS,2,34,11,25,3
08/03/2022,58,Ozone,Chico-East Avenue,06-007-0008,AQS,2,58,22,52,8
09/03/2022,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,47,21,52,7
10/03/2022,61,Ozone,Paradise - Airport,06-007-0007,AQS,3,61,30,48,12
11/03/2022,32,Ozone,Paradise - Airport,06-007-0007,AQS,5,32,8,23,19
12/03/2022,57,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,26,9,57,8
01/04/2022,31,Ozone,Paradise - Airport,06-007-0007,AQS,2,31,6,18,4
02/04/2022,78,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,42,19,78,22
03/04/2022,36,Ozone,Paradise - Airport,06-007-0007,AQS,3,36,8,30,11
04/04/2022,40,Ozone,Chico-East Avenue,06-007-0008,AQS,2,40,14,33,7
05/04/2022,61,Ozone,Paradise - Airport,06-007-0007,AQS,2,61,16,19,8
06/04/2022,47,Ozone,Paradise - Airport,06-007-0007,AQS,1,47,7,8,3
07/04/2022,28,Ozone,Paradise - Airport,06-007-0007,AQS,1,28,8,26,5
08/04/2022,56,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,45,25,56,6
09/04/2022,46,Ozone,Chico-East Avenue,06-007-0008,AQS,2,46,14,22,8
10/04/2022,71,Ozone,Chico-East Avenue,06-007-0008,AQS,3,71,33,48,14
11/04/2022,42,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,32,14,42,22
12/04/2022,34,Ozone,Paradise - Airport,06-007-0007,AQS,5,34,3,16,8
01/05/2022,46,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,29,.,46,13
02/05/2022,72,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,44,15,72,19
03/05/2022,34,Ozone,Paradise - Airport,06-007-0007,AQS,3,34,6,22,10
04/05/2022,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,15,17,2
05/05/2022,44,Ozone,Paradise - Airport,06-007-0007,AQS,2,44,17,31,5
06/05/2022,31,Ozone,Paradise - Airport,06-007-0007,AQS,1,31,3,13,3
07/05/2022,24,PM2.5,Chico-East Avenue,06-007-0008,AQS,1,24,12,24,4
08/05/2022,44,Ozone,Paradise - Airport,06-007-0007,AQS,1,44,19,34,4
09/05/2022,54,Ozone,Chico-East Avenue,06-007-0008,AQS,2,54,22,39,11
10/05/2022,93,Ozone,Chico-East Avenue,06-007-0008,AQS,3,93,36,55,17
11/05/2022,27,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,27,8,27,7
12/05/2022,32,Ozone,Paradise - Airport,06-007-0007,AQS,3,32,6,22,6
01/06/2022,41,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,19,.,41,10
02/06/2022,65,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,43,14,65,20
03/06/2022,38,Ozone,Paradise - Airport,06-007-0007,AQS,3,38,9,36,11
04/06/2022,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,41,12,52,9
05/06/2022,31,Ozone,Paradise - Airport,06-007-0007,AQS,1,31,10,24,3
06/06/2022,49,Ozone,Paradise - Airport,06-007-0007,AQS,1,49,5,22,8
07/06/2022,35,Ozone,Chico-East Avenue,06-007-0008,AQS,1,35,11,18,2
08/06/2022,43,Ozone,Paradise - Airport,06-007-0007,AQS,1,43,13,29,5
09/06/2022,58,Ozone,Chico-East Avenue,06-007-0008,AQS,3,58,49,50,17
10/06/2022,74,Ozone,Chico-East Avenue,06-007-0008,AQS,5,74,31,51,18
11/06/2022,34,Ozone,Paradise - Airport,06-007-0007,AQS,2,34,8,27,4
12/06/2022,35,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,32,9,35,12
01/07/2022,37,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,29,.,37,8
02/07/2022,62,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,41,18,62,18
03/07/2022,42,Ozone,Chico-East Avenue,06-007-0008,AQS,3,42,9,27,19
04/07/2022,58,Ozone,Paradise - Airport,06-007-0007,AQS,2,58,25,44,15
05/07/2022,42,Ozone,Chico-East Avenue,06-007-0008,AQS,2,42,8,24,3
06/07/2022,80,Ozone,Paradise - Airport,06-007-0007,AQS,2,80,8,16,11
07/07/2022,42,Ozone,Paradise - Airport,06-007-0007,AQS,1,42,12,18,5
08/07/2022,53,PM2.5,Chico-East Avenue,06-007-0008,AQS,1,45,13,53,3
09/07/2022,77,Ozone,Chico-East Avenue,06-007-0008,AQS,2,77,44,53,12
10/07/2022,61,Ozone,Paradise - Airport,06-007-0007,AQS,3,61,34,37,17
11/07/2022,35,Ozone,Paradise - Airport,06-007-0007,AQS,2,35,3,16,5
12/07/2022,62,PM2.5,Chico-East Avenue,06-007-0008,AQS,10,31,18,62,19
01/08/2022,32,Ozone,Paradise - Airport,06-007-0007,AQS,5,32,.,28,12
02/08/2022,54,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,41,18,54,23
03/08/2022,43,Ozone,Chico-East Avenue,06-007-0008,AQS,3,43,11,19,10
04/08/2022,64,Ozone,Chico-East Avenue,06-007-0008,AQS,2,64,26,46,10
05/08/2022,40,Ozone,Chico-East Avenue,06-007-0008,AQS,2,40,6,10,3
06/08/2022,51,Ozone,Paradise - Airport,06-007-0007,AQS,2,51,15,27,5
07/08/2022,54,Ozone,Chico-East Avenue,06-007-0008,AQS,1,54,14,22,7
08/08/2022,44,Ozone,Paradise - Airport,06-007-0007,AQS,1,44,16,28,4
09/08/2022,67,Ozone,Chico-East Avenue,06-007-0008,AQS,2,67,39,58,13
10/08/2022,58,Ozone,Paradise - Airport,06-007-0007,AQS,3,58,27,41,20
11/08/2022,33,Ozone,Paradise - Airport,06-007-0007,AQS,3,33,4,17,11
12/08/2022,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,32,11,52,13
01/09/2022,53,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,31,.,53,16
02/09/2022,39,Ozone,Paradise - Airport,06-007-0007,AQS,7,39,18,32,23
03/09/2022,42,Ozone,Chico-East Avenue,06-007-0008,AQS,2,42,9,13,12
04/09/2022,45,Ozone,Chico-East Avenue,06-007-0008,AQS,1,45,28,24,1
05/09/2022,41,Ozone,Paradise - Airport,06-007-0007,AQS,2,41,6,8,4
06/09/2022,43,Ozone,Chico-East Avenue,06-007-0008,AQS,2,43,11,19,7
07/09/2022,47,Ozone,Paradise - Airport,06-007-0007,AQS,1,47,12,24,4
08/09/2022,39,Ozone,Chico-East Avenue,06-007-0008,AQS,1,39,18,36,4
09/09/2022,85,PM2.5,Paradise - Theater,06-007-2002,AQS,3,51,47,85,8
10/09/2022,58,Ozone,Paradise - Airport,06-007-0007,AQS,3,58,24,38,19
11/09/2022,30,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,27,6,30,13
12/09/2022,44,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,31,9,44,8
01/10/2022,33,Ozone,Paradise - Airport,06-007-0007,AQS,7,33,.,8,15
02/10/2022,38,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,38,16,38,20
03/10/2022,44,Ozone,Paradise - Airport,06-007-0007,AQS,3,44,11,13,12
04/10/2022,44,Ozone,Paradise - Airport,06-007-0007,AQS,2,44,6,12,2
05/10/2022,35,Ozone,Chico-East Avenue,06-007-0008,AQS,2,35,2,6,6
06/10/2022,27,Ozone,Paradise - Airport,06-007-0007,AQS,1,27,8,16,8
07/10/2022,58,Ozone,Paradise - Airport,06-007-0007,AQS,2,58,6,25,5
08/10/2022,44,Ozone,Paradise - Airport,06-007-0007,AQS,2,44,15,20,6
09/10/2022,114,PM2.5,Paradise - Theater,06-007-2002,AQS,7,49,61,114,8
10/10/2022,54,Ozone,Paradise - Airport,06-007-0007,AQS,3,54,37,48,17
11/10/2022,53,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,31,10,53,11
12/10/2022,34,Ozone,Paradise - Airport,06-007-0007,AQS,2,34,6,24,3
01/11/2022,68,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,31,22,68,16
02/11/2022,62,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,42,20,62,22
03/11/2022,48,Ozone,Paradise - Airport,06-007-0007,AQS,3,48,14,28,11
04/11/2022,41,Ozone,Chico-East Avenue,06-007-0008,AQS,2,41,18,23,3
05/11/2022,43,Ozone,Paradise - Airport,06-007-0007,AQS,2,43,5,22,7
06/11/2022,36,Ozone,Chico-East Avenue,06-007-0008,AQS,1,36,6,11,6
07/11/2022,74,Ozone,Paradise - Airport,06-007-0007,AQS,2,74,21,35,8
08/11/2022,45,Ozone,Chico-East Avenue,06-007-0008,AQS,2,45,15,23,7
09/11/2022,119,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,61,53,119,12
10/11/2022,71,Ozone,Paradise - Airport,06-007-0007,AQS,5,71,49,55,18
11/11/2022,60,PM2.5,Chico-East Avenue,06-007-0008,AQS,9,28,16,60,20
12/11/2022,35,Ozone,Paradise - Airport,06-007-0007,AQS,3,35,4,19,6
01/12/2022,74,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,30,27,74,21
02/12/2022,54,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,42,14,54,20
03/12/2022,50,Ozone,Paradise - Airport,06-007-0007,AQS,3,50,14,32,13
04/12/2022,42,Ozone,Chico-East Avenue,06-007-0008,AQS,2,42,9,14,16
05/12/2022,45,Ozone,Paradise - Airport,06-007-0007,AQS,2,45,8,16,5
06/12/2022,36,Ozone,Chico-East Avenue,06-007-0008,AQS,1,36,8,8,3
07/12/2022,71,Ozone,Chico-East Avenue,06-007-0008,AQS,2,71,22,38,10
08/12/2022,44,Ozone,Paradise - Airport,06-007-0007,AQS,2,44,16,19,7
09/12/2022,85,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,47,48,85,15
10/12/2022,71,Ozone,Paradise - Airport,06-007-0007,AQS,3,71,51,59,15
11/12/2022,57,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,33,13,57,12
12/12/2022,32,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,32,6,32,.
01/01/2023,37,Ozone,Paradise - Airport,06-007-0007,AQS,7,37,6,31,21
02/01/2023,64,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,37,.,64,29
03/01/2023,42,Ozone,Paradise - Airport,06-007-0007,AQS,3,42,4,21,13
04/01/2023,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,6,21,4
05/01/2023,34,Ozone,Paradise - Airport,06-007-0007,AQS,2,34,19,27,4
06/01/2023,57,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,50,29,57,5
07/01/2023,67,Ozone,Chico-East Avenue,06-007-0008,AQS,3,67,19,52,8
08/01/2023,58,Ozone,Paradise - Airport,06-007-0007,AQS,3,58,45,55,22
09/01/2023,55,PM2.5,Paradise-Clark,06-007-2003,AQS,3,31,35,55,3
10/01/2023,32,Ozone,Paradise - Airport,06-007-0007,AQS,.,32,8,25,11
11/01/2023,63,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,36,31,63,24
12/01/2023,58,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,29,15,58,16
01/02/2023,44,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,35,8,44,14
02/02/2023,77,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,6,35,.,77,22
03/02/2023,41,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,39,8,41,21
04/02/2023,40,Ozone,Chico-East Avenue,06-007-0008,AQS,2,40,2,13,3
05/02/2023,36,Ozone,Chico-East Avenue,06-007-0008,AQS,2,36,8,17,5
06/02/2023,52,PM2.5,Paradise-Clark,06-007-2003,AQS,2,49,24,52,7
07/02/2023,64,Ozone,Paradise - Airport,06-007-0007,AQS,2,64,17,48,7
08/02/2023,50,Ozone,Paradise - Airport,06-007-0007,AQS,2,50,30,46,8
09/02/2023,30,Ozone,Chico-East Avenue,06-007-0008,AQS,1,30,7,17,3
10/02/2023,34,Ozone,Paradise - Airport,06-007-0007,AQS,.,34,16,24,16
11/02/2023,64,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,31,29,64,13
12/02/2023,36,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,30,3,36,3
01/03/2023,39,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,31,5,39,11
02/03/2023,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,7,41,.,52,19
03/03/2023,41,Ozone,Chico-East Avenue,06-007-0008,AQS,3,41,8,31,16
04/03/2023,42,Ozone,Chico-East Avenue,06-007-0008,AQS,2,42,2,9,.
05/03/2023,40,Ozone,Chico-East Avenue,06-007-0008,AQS,2,40,.,11,5
06/03/2023,61,Ozone,Paradise - Airport,06-007-0007,AQS,2,61,20,55,6
07/03/2023,67,Ozone,Paradise - Airport,06-007-0007,AQS,2,67,27,52,8
08/03/2023,52,PM2.5,Paradise-Clark,06-007-2003,AQS,2,47,34,52,8
09/03/2023,35,Ozone,Paradise - Airport,06-007-0007,AQS,2,35,8,29,4
10/03/2023,40,Ozone,Paradise - Airport,06-007-0007,AQS,.,40,13,33,11
11/03/2023,56,PM2.5,Chico-East Avenue,06-007-0008,AQS,5,30,24,56,18
12/03/2023,39,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,33,6,39,10
01/04/2023,37,Ozone,Paradise - Airport,06-007-0007,AQS,3,37,4,19,9
02/04/2023,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,37,.,52,7
03/04/2023,41,Ozone,Chico-East Avenue,06-007-0008,AQS,3,41,7,27,4
04/04/2023,41,Ozone,Paradise - Airport,06-007-0007,AQS,2,41,6,16,.
05/04/2023,33,Ozone,Paradise - Airport,06-007-0007,AQS,2,33,.,24,4
06/04/2023,64,Ozone,Paradise - Airport,06-007-0007,AQS,2,64,19,54,4
07/04/2023,58,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,50,23,58,4
08/04/2023,53,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,48,31,53,8
09/04/2023,39,Ozone,Paradise - Airport,06-007-0007,AQS,2,39,19,32,9
10/04/2023,35,Ozone,Paradise - Airport,06-007-0007,AQS,2,35,12,33,10
11/04/2023,53,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,5,45,21,53,8
12/04/2023,51,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,24,14,51,21
01/05/2023,36,Ozone,Chico-East Avenue,06-007-0008,AQS,2,36,3,13,3
02/05/2023,37,Ozone,Paradise - Airport,06-007-0007,AQS,3,37,.,27,11
03/05/2023,43,Ozone,Chico-East Avenue,06-007-0008,AQS,2,43,2,13,3
04/05/2023,43,Ozone,Chico-East Avenue,06-007-0008,AQS,2,43,8,39,.
05/05/2023,35,Ozone,Paradise - Airport,06-007-0007,AQS,2,35,.,17,5
06/05/2023,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,48,35,52,9
07/05/2023,63,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,47,34,63,4
08/05/2023,55,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,47,25,55,7
09/05/2023,41,Ozone,Paradise - Airport,06-007-0007,AQS,3,41,37,36,12
10/05/2023,43,Ozone,Paradise - Airport,06-007-0007,AQS,5,43,20,29,14
11/05/2023,31,Ozone,Paradise-Clark,06-007-2003,AQS,2,31,6,23,3
12/05/2023,60,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,22,20,60,19
01/06/2023,36,Ozone,Paradise - Airport,06-007-0007,AQS,2,36,11,32,8
02/06/2023,41,Ozone,Paradise - Airport,06-007-0007,AQS,5,41,.,19,16
03/06/2023,39,Ozone,Chico-East Avenue,06-007-0008,AQS,2,39,3,18,7
04/06/2023,53,PM2.5,Paradise - Theater,06-007-2002,AQS,3,46,13,53,15
05/06/2023,39,Ozone,Chico-East Avenue,06-007-0008,AQS,2,39,.,14,4
06/06/2023,49,PM2.5,Paradise-Clark,06-007-2003,AQS,2,41,27,49,4
07/06/2023,48,Ozone,Paradise - Airport,06-007-0007,AQS,2,48,27,41,9
08/06/2023,40,Ozone,Paradise - Airport,06-007-0007,AQS,2,40,23,35,6
09/06/2023,51,Ozone,Paradise - Airport,06-007-0007,AQS,3,51,33,44,14
10/06/2023,46,Ozone,Paradise - Airport,06-007-0007,AQS,3,46,31,32,18
11/06/2023,34,Ozone,Chico-East Avenue,06-007-0008,AQS,2,34,6,21,9
12/06/2023,54,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,8,31,14,54,10
01/07/2023,39,Ozone,Chico-East Avenue,06-007-0008,AQS,2,39,4,14,8
02/07/2023,56,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,35,14,56,21
03/07/2023,43,Ozone,Chico-East Avenue,06-007-0008,AQS,2,43,2,19,4
04/07/2023,45,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,37,5,45,4
05/07/2023,44,Ozone,Paradise - Airport,06-007-0007,AQS,2,44,6,18,3
06/07/2023,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,16,43,4
07/07/2023,52,PM2.5,Paradise-Clark,06-007-2003,AQS,2,47,28,52,7
08/07/2023,45,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,43,41,45,17
09/07/2023,58,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,50,41,58,.
10/07/2023,58,Ozone,Paradise - Airport,06-007-0007,AQS,3,58,19,43,8
11/07/2023,35,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,34,4,35,9
12/07/2023,31,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,31,6,31,10
01/08/2023,38,Ozone,Chico-East Avenue,06-007-0008,AQS,2,38,4,27,3
02/08/2023,65,PM2.5,Chico-East Avenue,06-007-0008,AQS,7,36,19,65,20
03/08/2023,43,Ozone,Chico-East Avenue,06-007-0008,AQS,2,43,2,20,6
04/08/2023,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,38,5,52,7
05/08/2023,42,Ozone,Paradise - Airport,06-007-0007,AQS,2,42,9,19,5
06/08/2023,48,Ozone,Paradise - Airport,06-007-0007,AQS,2,48,15,39,3
07/08/2023,53,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,45,25,53,3
